2020,Employment Status By Disability Status,Unemployed,Disabled,"St Marys County, Maryland",215,,,,
2018,Unemployment By Race,,Hispanic,"St Marys County, Maryland",2.6,0.026000000000000002
2017,Unemployment By Race,,Hispanic,"St Marys County, Maryland",2.8,0.027999999999999997
2015,Unemployment By Race,,Hispanic,"St Marys County, Maryland",3.9,0.039
2016,Unemployment By Race,,Hispanic,"St Marys County, Maryland",2.5,0.025
2019,Unemployment By Race,,Hispanic,"St Marys County, Maryland",0.6,0.006
2020,Unemployment By Race,,Hispanic,"St Marys County, Maryland",0.5,0.005
2016,Unemployment By Gender,,Female,"St Marys County, Maryland",4.1,0.040999999999999995
2018,Unemployment By Gender,,Female,"St Marys County, Maryland",3.6,0.036000000000000004
2017,Unemployment By Gender,,Female,"St Marys County, Maryland",4.3,0.043
2015,Unemployment By Gender,,Female,"St Marys County, Maryland",4.5,0.045
2019,Unemployment By Gender,,Female,"St Marys County, Maryland",3.6,0.036000000000000004
2020,Unemployment By Gender,,Female,"St Marys County, Maryland",3.7,0.037000000000000005
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"St Marys County, Maryland",1972,,,,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"St Marys County, Maryland",1915,,,,
2018,Employment Status By Disability Status,Unemployed,Non Disabled,"St Marys County, Maryland",1722,,,,
2019,Employment Status By Disability Status,Unemployed,Non Disabled,"St Marys County, Maryland",1413,,,,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"St Marys County, Maryland",2259,,,,
2020,Employment Status By Disability Status,Unemployed,Non Disabled,"St Marys County, Maryland",1662,,,,
2015,Employment Status By Disability Status,Employed,Non Disabled,"St Marys County, Maryland",47395,
2020,Employment Status By Disability Status,Employed,Non Disabled,"St Marys County, Maryland",49378,
2019,Employment Status By Disability Status,Employed,Non Disabled,"St Marys County, Maryland",48643,
2016,Employment Status By Disability Status,Employed,Non Disabled,"St Marys County, Maryland",47533,
2018,Employment Status By Disability Status,Employed,Non Disabled,"St Marys County, Maryland",47752,
2017,Employment Status By Disability Status,Employed,Non Disabled,"St Marys County, Maryland",47413,
2015,Employment Status By Education,Employed,Bachelor's or Higher,"St Marys County, Maryland",15561,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"St Marys County, Maryland",15919,
2019,Employment Status By Education,Employed,Bachelor's or Higher,"St Marys County, Maryland",16787,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"St Marys County, Maryland",15363,
2020,Employment Status By Education,Employed,Bachelor's or Higher,"St Marys County, Maryland",17209,
2018,Employment Status By Education,Employed,Bachelor's or Higher,"St Marys County, Maryland",16433,
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"St Marys County, Maryland",302,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"St Marys County, Maryland",333,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"St Marys County, Maryland",351,
2019,Employment Status By Education,Unemployed,Bachelor's or Higher,"St Marys County, Maryland",250,
2018,Employment Status By Education,Unemployed,Bachelor's or Higher,"St Marys County, Maryland",322,
2020,Employment Status By Education,Unemployed,Bachelor's or Higher,"St Marys County, Maryland",224,
2015,Employment Status By Education,NIL,Bachelor's or Higher,"St Marys County, Maryland",2203,
2016,Employment Status By Education,NIL,Bachelor's or Higher,"St Marys County, Maryland",2053,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"St Marys County, Maryland",2266,
2019,Employment Status By Education,NIL,Bachelor's or Higher,"St Marys County, Maryland",2375,
2020,Employment Status By Education,NIL,Bachelor's or Higher,"St Marys County, Maryland",2197,
2018,Employment Status By Education,NIL,Bachelor's or Higher,"St Marys County, Maryland",2304,
2015,Employment Status By Education,Employed,Highschool,"St Marys County, Maryland",12149,
2017,Employment Status By Education,Employed,Highschool,"St Marys County, Maryland",11997,
2016,Employment Status By Education,Employed,Highschool,"St Marys County, Maryland",12179,
2018,Employment Status By Education,Employed,Highschool,"St Marys County, Maryland",12097,
2020,Employment Status By Education,Employed,Highschool,"St Marys County, Maryland",12975,
2019,Employment Status By Education,Employed,Highschool,"St Marys County, Maryland",12631,
2015,Employment Status By Education,Unemployed,Highschool,"St Marys County, Maryland",524,
2016,Employment Status By Education,Unemployed,Highschool,"St Marys County, Maryland",321,
2017,Employment Status By Education,Unemployed,Highschool,"St Marys County, Maryland",312,
2019,Employment Status By Education,Unemployed,Highschool,"St Marys County, Maryland",336,
2018,Employment Status By Education,Unemployed,Highschool,"St Marys County, Maryland",280,
2020,Employment Status By Education,Unemployed,Highschool,"St Marys County, Maryland",429,
2016,Employment Status By Education,NIL,Highschool,"St Marys County, Maryland",4517,
2015,Employment Status By Education,NIL,Highschool,"St Marys County, Maryland",4383,
2017,Employment Status By Education,NIL,Highschool,"St Marys County, Maryland",4662,
2020,Employment Status By Education,NIL,Highschool,"St Marys County, Maryland",4504,
2018,Employment Status By Education,NIL,Highschool,"St Marys County, Maryland",4555,
2019,Employment Status By Education,NIL,Highschool,"St Marys County, Maryland",4522,
2015,Employment Status By Poverty Status,Employed,Below Poverty,"St Marys County, Maryland",1647,
2017,Employment Status By Poverty Status,Employed,Below Poverty,"St Marys County, Maryland",1636,
2016,Employment Status By Poverty Status,Employed,Below Poverty,"St Marys County, Maryland",1578,
2018,Employment Status By Poverty Status,Employed,Below Poverty,"St Marys County, Maryland",1930,
2019,Employment Status By Poverty Status,Employed,Below Poverty,"St Marys County, Maryland",1746,
2020,Employment Status By Poverty Status,Employed,Below Poverty,"St Marys County, Maryland",2182,
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"St Marys County, Maryland",572,
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"St Marys County, Maryland",560,
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"St Marys County, Maryland",557,
2018,Employment Status By Poverty Status,Unemployed,Below Poverty,"St Marys County, Maryland",501,
2019,Employment Status By Poverty Status,Unemployed,Below Poverty,"St Marys County, Maryland",443,
2020,Employment Status By Poverty Status,Unemployed,Below Poverty,"St Marys County, Maryland",494,
2015,Employment Status By Disability Status,Employed,Disabled,"St Marys County, Maryland",3381,,,,
2017,Employment Status By Disability Status,Employed,Disabled,"St Marys County, Maryland",4020,,,,
2016,Employment Status By Disability Status,Employed,Disabled,"St Marys County, Maryland",3747,,,,
2020,Employment Status By Disability Status,Employed,Disabled,"St Marys County, Maryland",3580,,,,
2018,Employment Status By Disability Status,Employed,Disabled,"St Marys County, Maryland",4274,,,,
2019,Employment Status By Disability Status,Employed,Disabled,"St Marys County, Maryland",3653,,,,
2015,Employment Status By Education,Employed,Less than Highschool,"St Marys County, Maryland",2339,
2018,Employment Status By Education,Employed,Less than Highschool,"St Marys County, Maryland",3232,
2016,Employment Status By Education,Employed,Less than Highschool,"St Marys County, Maryland",2753,
2017,Employment Status By Education,Employed,Less than Highschool,"St Marys County, Maryland",3085,
2015,Employment Status By Education,Unemployed,Less than Highschool,"St Marys County, Maryland",300,
2016,Employment Status By Education,Unemployed,Less than Highschool,"St Marys County, Maryland",244,
2017,Employment Status By Education,Unemployed,Less than Highschool,"St Marys County, Maryland",274,
2018,Employment Status By Education,Unemployed,Less than Highschool,"St Marys County, Maryland",270,
2020,Employment Status By Education,Employed,Less than Highschool,"St Marys County, Maryland",3065,
2019,Employment Status By Education,Employed,Less than Highschool,"St Marys County, Maryland",3309,
2016,Employment Status By Education,NIL,Less than Highschool,"St Marys County, Maryland",1802,
2018,Employment Status By Education,NIL,Less than Highschool,"St Marys County, Maryland",1476,
2020,Employment Status By Education,Unemployed,Less than Highschool,"St Marys County, Maryland",168,
2015,Employment Status By Education,NIL,Less than Highschool,"St Marys County, Maryland",1606,
2017,Employment Status By Education,NIL,Less than Highschool,"St Marys County, Maryland",1622,
2019,Employment Status By Education,Unemployed,Less than Highschool,"St Marys County, Maryland",207,
2019,Employment Status By Education,NIL,Less than Highschool,"St Marys County, Maryland",1544,
2016,Unemployment By Veteran Status,,Non Veteran,"St Marys County, Maryland",4.4,0.044000000000000004
2020,Employment Status By Education,NIL,Less than Highschool,"St Marys County, Maryland",1312,
2017,Unemployment By Veteran Status,,Non Veteran,"St Marys County, Maryland",4.2,0.042
2015,Unemployment By Veteran Status,,Non Veteran,"St Marys County, Maryland",4.8,0.048
2018,Unemployment By Veteran Status,,Non Veteran,"St Marys County, Maryland",3.8,0.038
2019,Unemployment By Veteran Status,,Non Veteran,"St Marys County, Maryland",3.4,0.034
2020,Unemployment By Veteran Status,,Non Veteran,"St Marys County, Maryland",3.8,0.038
2015,Unemployment By Veteran Status,,Veteran,"St Marys County, Maryland",3.2,0.032
2016,Unemployment By Veteran Status,,Veteran,"St Marys County, Maryland",2.3,0.023
2017,Unemployment By Veteran Status,,Veteran,"St Marys County, Maryland",2.2,0.022000000000000002
2018,Unemployment By Veteran Status,,Veteran,"St Marys County, Maryland",2.1,0.021
2019,Unemployment By Veteran Status,,Veteran,"St Marys County, Maryland",0.8,0.008
2020,Unemployment By Veteran Status,,Veteran,"St Marys County, Maryland",1.3,0.013000000000000001
2016,Employment Status By Education,Employed,Some College,"St Marys County, Maryland",14788,
2015,Employment Status By Education,Employed,Some College,"St Marys County, Maryland",14550,
2018,Employment Status By Education,Employed,Some College,"St Marys County, Maryland",13910,
2017,Employment Status By Education,Employed,Some College,"St Marys County, Maryland",14197,
2020,Employment Status By Education,Employed,Some College,"St Marys County, Maryland",13041,
2019,Employment Status By Education,Employed,Some College,"St Marys County, Maryland",13047,
2015,Employment Status By Education,Unemployed,Some College,"St Marys County, Maryland",349,
2016,Employment Status By Education,Unemployed,Some College,"St Marys County, Maryland",349,
2017,Employment Status By Education,Unemployed,Some College,"St Marys County, Maryland",409,
2018,Employment Status By Education,Unemployed,Some College,"St Marys County, Maryland",442,
2019,Employment Status By Education,Unemployed,Some College,"St Marys County, Maryland",368,
2015,Employment Status By Education,NIL,Some College,"St Marys County, Maryland",3039,
2020,Employment Status By Education,Unemployed,Some College,"St Marys County, Maryland",561,
2016,Employment Status By Education,NIL,Some College,"St Marys County, Maryland",3310,
2017,Employment Status By Education,NIL,Some College,"St Marys County, Maryland",3243,
2018,Employment Status By Education,NIL,Some College,"St Marys County, Maryland",3099,
2019,Employment Status By Education,NIL,Some College,"St Marys County, Maryland",3387,
2015,Unemployment By Race,,Asian,"St Marys County, Maryland",7.3,0.073
2020,Employment Status By Education,NIL,Some College,"St Marys County, Maryland",3268,
2016,Unemployment By Race,,Asian,"St Marys County, Maryland",5.1,0.051
2017,Unemployment By Race,,Asian,"St Marys County, Maryland",4.4,0.044000000000000004
2018,Unemployment By Race,,Asian,"St Marys County, Maryland",4.6,0.046
2019,Unemployment By Race,,Asian,"St Marys County, Maryland",3.2,0.032
2015,Unemployment By Race,,White,"St Marys County, Maryland",4.2,0.042
2020,Unemployment By Race,,Asian,"St Marys County, Maryland",2.9,0.028999999999999998
2016,Unemployment By Race,,White,"St Marys County, Maryland",4.1,0.040999999999999995
2017,Unemployment By Race,,White,"St Marys County, Maryland",4,0.04
2017,Unemployment By Race,,Black,"St Marys County, Maryland",5.1,0.051
2016,Unemployment By Race,,Black,"St Marys County, Maryland",5.9,0.059000000000000004
2015,Unemployment By Race,,Black,"St Marys County, Maryland",7.6,0.076
2020,Unemployment By Race,,White,"St Marys County, Maryland",3.9,0.039
2019,Unemployment By Race,,White,"St Marys County, Maryland",3.6,0.036000000000000004
2018,Unemployment By Race,,White,"St Marys County, Maryland",3.5,0.035
2019,Unemployment By Race,,Black,"St Marys County, Maryland",2,0.02
2020,Unemployment By Race,,Black,"St Marys County, Maryland",2.2,0.022000000000000002
2018,Unemployment By Race,,Black,"St Marys County, Maryland",4.6,0.046
2017,SNAP Recipient Workers,,,"Talbot County, Maryland",1652,,,,,
2018,SNAP Recipient Workers,,,"Talbot County, Maryland",1637,,,,,
2019,SNAP Recipient Workers,,,"Talbot County, Maryland",1659,,,,,
2020,SNAP Recipient Workers,,,"Talbot County, Maryland",1601,,,,,
2017,SNAP Recipient Workers by Percentage,,,"Talbot County, Maryland",0.006483,0.6483,,,,
2018,SNAP Recipient Workers by Percentage,,,"Talbot County, Maryland",0.006864,0.6864,,,,
2019,SNAP Recipient Workers by Percentage,,,"Talbot County, Maryland",0.006898,0.6898,,,,
2020,SNAP Recipient Workers by Percentage,,,"Talbot County, Maryland",0.006954,0.6954,,,,
2015,Employment Status By Disability Status,Labor Force,Disabled,"Talbot County, Maryland",874,,,,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Talbot County, Maryland",930,,,,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Talbot County, Maryland",851,,,,
2018,Employment Status By Disability Status,Labor Force,Disabled,"Talbot County, Maryland",1017,,,,
2019,Employment Status By Disability Status,Labor Force,Disabled,"Talbot County, Maryland",1174,,,,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Talbot County, Maryland",15841,,,,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Talbot County, Maryland",15529,,,,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Talbot County, Maryland",15688,,,,
2018,Employment Status By Disability Status,Labor Force,Non Disabled,"Talbot County, Maryland",15253,,,,
2019,Employment Status By Disability Status,Labor Force,Non Disabled,"Talbot County, Maryland",14854,,,,
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Talbot County, Maryland",1494,,,,
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Talbot County, Maryland",1431,,,,
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Talbot County, Maryland",1283,,,,
2018,Employment Status By Poverty Status,Labor Force,Below Poverty,"Talbot County, Maryland",1225,,,,
2019,Employment Status By Poverty Status,Labor Force,Below Poverty,"Talbot County, Maryland",1037,,,,
2015,Median Household Income,,,"Talbot County, Maryland",58228,,,,,,
2016,Median Household Income,,,"Talbot County, Maryland",61395,,,,,,
2017,Median Household Income,,,"Talbot County, Maryland",65595,,,,,,
2018,Median Household Income,,,"Talbot County, Maryland",67204,,,,,,
2019,Median Household Income,,,"Talbot County, Maryland",73547,,,,,,
2020,Median Household Income,,,"Talbot County, Maryland",73102,,,,,,
2016,Total Population,,,"Talbot County, Maryland",37668,,,,,
2015,Total Population,,,"Talbot County, Maryland",37799,,,,,
2017,Total Population,,,"Talbot County, Maryland",37461,,,,,
2018,Total Population,,,"Talbot County, Maryland",37211,,,,,
2019,Total Population,,,"Talbot County, Maryland",37167,,,,,
2020,Total Population,,,"Talbot County, Maryland",37087,,,,,
2016,Unemployment By Gender,,Male,"Talbot County, Maryland",5.5,0.055
2015,Unemployment By Gender,,Male,"Talbot County, Maryland",6.2,0.062
2017,Unemployment By Gender,,Male,"Talbot County, Maryland",4.5,0.045
2018,Unemployment By Gender,,Male,"Talbot County, Maryland",3.3,0.033
2019,Unemployment By Gender,,Male,"Talbot County, Maryland",3.1,0.031
2020,Unemployment By Gender,,Male,"Talbot County, Maryland",2.3,0.023
2016,Employment Status By Disability Status,Unemployed,Disabled,"Talbot County, Maryland",125,,,,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Talbot County, Maryland",152,,,,
2015,Employment Status By Disability Status,Unemployed,Disabled,"Talbot County, Maryland",101,,,,
2018,Employment Status By Disability Status,Unemployed,Disabled,"Talbot County, Maryland",95,,,,
2019,Employment Status By Disability Status,Unemployed,Disabled,"Talbot County, Maryland",138,,,,
2015,Unemployment By Race,,Hispanic,"Talbot County, Maryland",6.4,0.064
2016,Unemployment By Race,,Hispanic,"Talbot County, Maryland",1,0.01
2020,Employment Status By Disability Status,Unemployed,Disabled,"Talbot County, Maryland",62,,,,
2017,Unemployment By Race,,Hispanic,"Talbot County, Maryland",0.9,0.009000000000000001
2018,Unemployment By Race,,Hispanic,"Talbot County, Maryland",1.1,0.011000000000000001
2019,Unemployment By Race,,Hispanic,"Talbot County, Maryland",1.2,0.012
2015,Unemployment By Gender,,Female,"Talbot County, Maryland",5.5,0.055
2020,Unemployment By Race,,Hispanic,"Talbot County, Maryland",1.3,0.013000000000000001
2016,Unemployment By Gender,,Female,"Talbot County, Maryland",4.8,0.048
2017,Unemployment By Gender,,Female,"Talbot County, Maryland",3.1,0.031
2018,Unemployment By Gender,,Female,"Talbot County, Maryland",2.6,0.026000000000000002
2019,Unemployment By Gender,,Female,"Talbot County, Maryland",2.4,0.024
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Talbot County, Maryland",972,,,,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Talbot County, Maryland",594,,,,
2020,Unemployment By Gender,,Female,"Talbot County, Maryland",2.9,0.028999999999999998
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Talbot County, Maryland",830,,,,
2019,Employment Status By Disability Status,Unemployed,Non Disabled,"Talbot County, Maryland",410,,,,
2018,Employment Status By Disability Status,Unemployed,Non Disabled,"Talbot County, Maryland",448,,,,
2018,Employment Status By Disability Status,Employed,Non Disabled,"Talbot County, Maryland",14805,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Talbot County, Maryland",14699,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Talbot County, Maryland",14869,
2020,Employment Status By Disability Status,Unemployed,Non Disabled,"Talbot County, Maryland",412,,,,
2019,Employment Status By Disability Status,Employed,Non Disabled,"Talbot County, Maryland",14444,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Talbot County, Maryland",15094,
2018,Employment Status By Education,Employed,Bachelor's or Higher,"Talbot County, Maryland",5089,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Talbot County, Maryland",4944,
2020,Employment Status By Disability Status,Employed,Non Disabled,"Talbot County, Maryland",13968,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Talbot County, Maryland",4748,
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Talbot County, Maryland",4688,
2019,Employment Status By Education,Employed,Bachelor's or Higher,"Talbot County, Maryland",5474,
2020,Employment Status By Education,Employed,Bachelor's or Higher,"Talbot County, Maryland",5212,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Talbot County, Maryland",110,
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Talbot County, Maryland",88,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Talbot County, Maryland",112,
2018,Employment Status By Education,Unemployed,Bachelor's or Higher,"Talbot County, Maryland",95,
2019,Employment Status By Education,Unemployed,Bachelor's or Higher,"Talbot County, Maryland",90,
2020,Employment Status By Education,Unemployed,Bachelor's or Higher,"Talbot County, Maryland",79,
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Talbot County, Maryland",1018,
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Talbot County, Maryland",1082,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Talbot County, Maryland",1065,
2018,Employment Status By Education,NIL,Bachelor's or Higher,"Talbot County, Maryland",1052,
2019,Employment Status By Education,NIL,Bachelor's or Higher,"Talbot County, Maryland",1168,
2020,Employment Status By Education,NIL,Bachelor's or Higher,"Talbot County, Maryland",1230,
2016,Employment Status By Education,Employed,Highschool,"Talbot County, Maryland",3499,
2015,Employment Status By Education,Employed,Highschool,"Talbot County, Maryland",3640,
2018,Employment Status By Education,Employed,Highschool,"Talbot County, Maryland",3515,
2017,Employment Status By Education,Employed,Highschool,"Talbot County, Maryland",3598,
2019,Employment Status By Education,Employed,Highschool,"Talbot County, Maryland",3190,
2020,Employment Status By Education,Employed,Highschool,"Talbot County, Maryland",3024,
2015,Employment Status By Education,Unemployed,Highschool,"Talbot County, Maryland",247,
2017,Employment Status By Education,Unemployed,Highschool,"Talbot County, Maryland",204,
2016,Employment Status By Education,Unemployed,Highschool,"Talbot County, Maryland",208,
2018,Employment Status By Education,Unemployed,Highschool,"Talbot County, Maryland",174,
2019,Employment Status By Education,Unemployed,Highschool,"Talbot County, Maryland",163,
2020,Employment Status By Education,Unemployed,Highschool,"Talbot County, Maryland",133,
2016,Employment Status By Education,NIL,Highschool,"Talbot County, Maryland",1223,
2017,Employment Status By Education,NIL,Highschool,"Talbot County, Maryland",1083,
2015,Employment Status By Education,NIL,Highschool,"Talbot County, Maryland",1206,
2018,Employment Status By Education,NIL,Highschool,"Talbot County, Maryland",1020,
2019,Employment Status By Education,NIL,Highschool,"Talbot County, Maryland",828,
2020,Employment Status By Education,NIL,Highschool,"Talbot County, Maryland",788,
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Talbot County, Maryland",1233,
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Talbot County, Maryland",1214,
2018,Employment Status By Poverty Status,Employed,Below Poverty,"Talbot County, Maryland",1084,
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Talbot County, Maryland",1060,
2019,Employment Status By Poverty Status,Employed,Below Poverty,"Talbot County, Maryland",872,
2020,Employment Status By Poverty Status,Employed,Below Poverty,"Talbot County, Maryland",806,
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Talbot County, Maryland",280,
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Talbot County, Maryland",198,
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Talbot County, Maryland",223,
2018,Employment Status By Poverty Status,Unemployed,Below Poverty,"Talbot County, Maryland",141,
2020,Employment Status By Poverty Status,Unemployed,Below Poverty,"Talbot County, Maryland",89,
2019,Employment Status By Poverty Status,Unemployed,Below Poverty,"Talbot County, Maryland",165,
2015,Employment Status By Disability Status,Employed,Disabled,"Talbot County, Maryland",773,,,,
2016,Employment Status By Disability Status,Employed,Disabled,"Talbot County, Maryland",805,,,,
2017,Employment Status By Disability Status,Employed,Disabled,"Talbot County, Maryland",699,,,,
2018,Employment Status By Disability Status,Employed,Disabled,"Talbot County, Maryland",922,,,,
2019,Employment Status By Disability Status,Employed,Disabled,"Talbot County, Maryland",1036,,,,
2020,Employment Status By Disability Status,Employed,Disabled,"Talbot County, Maryland",916,,,,
2015,Employment Status By Education,Employed,Less than Highschool,"Talbot County, Maryland",1343,
2017,Employment Status By Education,Employed,Less than Highschool,"Talbot County, Maryland",1265,
2016,Employment Status By Education,Employed,Less than Highschool,"Talbot County, Maryland",1225,
2018,Employment Status By Education,Employed,Less than Highschool,"Talbot County, Maryland",1250,
2020,Employment Status By Education,Employed,Less than Highschool,"Talbot County, Maryland",918,
2019,Employment Status By Education,Employed,Less than Highschool,"Talbot County, Maryland",1113,
2015,Employment Status By Education,Unemployed,Less than Highschool,"Talbot County, Maryland",112,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Talbot County, Maryland",17,
2019,Employment Status By Education,Unemployed,Less than Highschool,"Talbot County, Maryland",4,
2020,Employment Status By Education,Unemployed,Less than Highschool,"Talbot County, Maryland",0,
2016,Employment Status By Education,Unemployed,Less than Highschool,"Talbot County, Maryland",42,
2018,Employment Status By Education,Unemployed,Less than Highschool,"Talbot County, Maryland",16,
2015,Employment Status By Education,NIL,Less than Highschool,"Talbot County, Maryland",659,
2017,Employment Status By Education,NIL,Less than Highschool,"Talbot County, Maryland",653,
2016,Employment Status By Education,NIL,Less than Highschool,"Talbot County, Maryland",647,
2020,Employment Status By Education,NIL,Less than Highschool,"Talbot County, Maryland",424,
2018,Employment Status By Education,NIL,Less than Highschool,"Talbot County, Maryland",501,
2019,Employment Status By Education,NIL,Less than Highschool,"Talbot County, Maryland",427,
2015,Unemployment By Veteran Status,,Non Veteran,"Talbot County, Maryland",6.6,0.066
2016,Unemployment By Veteran Status,,Non Veteran,"Talbot County, Maryland",5.9,0.059000000000000004
2018,Unemployment By Veteran Status,,Non Veteran,"Talbot County, Maryland",3.4,0.034
2017,Unemployment By Veteran Status,,Non Veteran,"Talbot County, Maryland",4.7,0.047
2019,Unemployment By Veteran Status,,Non Veteran,"Talbot County, Maryland",3.6,0.036000000000000004
2020,Unemployment By Veteran Status,,Non Veteran,"Talbot County, Maryland",3.2,0.032
2015,Unemployment By Veteran Status,,Veteran,"Talbot County, Maryland",3.4,0.034
2016,Unemployment By Veteran Status,,Veteran,"Talbot County, Maryland",4,0.04
2018,Unemployment By Veteran Status,,Veteran,"Talbot County, Maryland",1.4,0.013999999999999999
2017,Unemployment By Veteran Status,,Veteran,"Talbot County, Maryland",1.8,0.018000000000000002
2019,Unemployment By Veteran Status,,Veteran,"Talbot County, Maryland",0,0
2020,Unemployment By Veteran Status,,Veteran,"Talbot County, Maryland",0,0
2015,Employment Status By Education,Employed,Some College,"Talbot County, Maryland",4321,
2016,Employment Status By Education,Employed,Some College,"Talbot County, Maryland",4349,
2020,Employment Status By Education,Employed,Some College,"Talbot County, Maryland",4288,
2018,Employment Status By Education,Employed,Some College,"Talbot County, Maryland",4140,
2019,Employment Status By Education,Employed,Some College,"Talbot County, Maryland",3937,
2017,Employment Status By Education,Employed,Some College,"Talbot County, Maryland",4283,
2015,Employment Status By Education,Unemployed,Some College,"Talbot County, Maryland",255,
2016,Employment Status By Education,Unemployed,Some College,"Talbot County, Maryland",272,
2018,Employment Status By Education,Unemployed,Some College,"Talbot County, Maryland",131,
2017,Employment Status By Education,Unemployed,Some College,"Talbot County, Maryland",132,
2019,Employment Status By Education,Unemployed,Some College,"Talbot County, Maryland",97,
2020,Employment Status By Education,Unemployed,Some College,"Talbot County, Maryland",95,
2015,Employment Status By Education,NIL,Some College,"Talbot County, Maryland",863,
2016,Employment Status By Education,NIL,Some College,"Talbot County, Maryland",766,
2017,Employment Status By Education,NIL,Some College,"Talbot County, Maryland",615,
2018,Employment Status By Education,NIL,Some College,"Talbot County, Maryland",706,
2019,Employment Status By Education,NIL,Some College,"Talbot County, Maryland",812,
2020,Employment Status By Education,NIL,Some College,"Talbot County, Maryland",975,
2015,Unemployment By Race,,Asian,"Talbot County, Maryland",5.1,0.051
2017,Unemployment By Race,,Asian,"Talbot County, Maryland",2.4,0.024
2016,Unemployment By Race,,Asian,"Talbot County, Maryland",3,0.03
2018,Unemployment By Race,,Asian,"Talbot County, Maryland",5.4,0.054000000000000006
2019,Unemployment By Race,,Asian,"Talbot County, Maryland",2.7,0.027000000000000003
2020,Unemployment By Race,,Asian,"Talbot County, Maryland",2.2,0.022000000000000002
2015,Unemployment By Race,,White,"Talbot County, Maryland",6.1,0.061
2017,Unemployment By Race,,White,"Talbot County, Maryland",3.8,0.038
2016,Unemployment By Race,,White,"Talbot County, Maryland",5.5,0.055
2018,Unemployment By Race,,White,"Talbot County, Maryland",2.8,0.027999999999999997
2019,Unemployment By Race,,White,"Talbot County, Maryland",2.5,0.025
2020,Unemployment By Race,,White,"Talbot County, Maryland",2.4,0.024
2016,Unemployment By Race,,Black,"Talbot County, Maryland",9.1,0.091
2015,Unemployment By Race,,Black,"Talbot County, Maryland",8,0.08
2017,Unemployment By Race,,Black,"Talbot County, Maryland",7.1,0.071
2018,Unemployment By Race,,Black,"Talbot County, Maryland",4.6,0.046
2019,Unemployment By Race,,Black,"Talbot County, Maryland",7.9,0.079
2020,Unemployment By Race,,Black,"Talbot County, Maryland",4.3,0.043
2017,SNAP Recipient Workers,,,"Washington County, Maryland",9214,,,,,
2018,SNAP Recipient Workers,,,"Washington County, Maryland",8798,,,,,
2019,SNAP Recipient Workers,,,"Washington County, Maryland",8606,,,,,
2020,SNAP Recipient Workers,,,"Washington County, Maryland",8096,,,,,
2017,SNAP Recipient Workers by Percentage,,,"Washington County, Maryland",0.036161,3.6161,,,,
2018,SNAP Recipient Workers by Percentage,,,"Washington County, Maryland",0.036891,3.6891,,,,
2019,SNAP Recipient Workers by Percentage,,,"Washington County, Maryland",0.035786,3.5786,,,,
2020,SNAP Recipient Workers by Percentage,,,"Washington County, Maryland",0.035167000000000004,3.5167,,,,
2015,Employment Status By Disability Status,Labor Force,Disabled,"Washington County, Maryland",5586,,,,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Washington County, Maryland",5458,,,,
